,Name,Album,Artist,Listen
0,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina,https://open.spotify.com/track/4uxJICczweCIPZkIA6AN5k
1,Creep,Creep,ORYL,https://open.spotify.com/track/70LcF31zb1H0PyJoS1Sx1r
2,Six Feet Under,Six Feet Under,Billie Eilish,https://open.spotify.com/track/2VlLbhGLVJgdOW7kKdWWFc
3,Calling Back,Calling Back,Kid Travis,https://open.spotify.com/track/3TCPXCgkADtCBq4iWrzJvY
4,Ghosttown,Ghosttown,Ella Stae,https://open.spotify.com/track/7vgTNTaEz3CsBZ1N4YQalM
5,Simple Things,Healing Trauma,Hannah Gail,https://open.spotify.com/track/2eSlEyM8W057e1NBX9KwAu
6,Circles,Circles,Gavin James,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
7,The Whole World is Watching,The Whole World is Watching,Dosey,https://open.spotify.com/track/4UA0KX1ZmikpH7r6ORgk7l
8,Friendly,Friendly,Joseph Jett,https://open.spotify.com/playlist/6kVq47OokEafl9gREzkFLj
9,L.A.,ARC 003,Verskotzi,https://open.spotify.com/track/6gU1zMfJ3v3LqzOS3i3f71
10,Note To Self,Note To Self,Stephen Stanley,https://open.spotify.com/artist/6uqDmP9KtUzkuKaZuFfjn6
11,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
12,He Don't Like The Sun,He Don't Like The Sun,Alex McArtor,https://open.spotify.com/track/7lYq0y4JYloNNkr8tjvQcJ
13,Heather,Kid Krow,Conan Gray,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
14,"Young, In Love & Depressed AF","Young, In Love & Depressed AF",Call Me Karizma,https://open.spotify.com/track/30o87pAMpYYGoHwxlGOR5c
15,Chasing Shadows,The Conduit,Alicia Witt,https://open.spotify.com/artist/2V91WRs9lVxSIbxH569baS
